#主分类(中文)	HPO编号	名称(英文)	定义(英文)	中文译名	中文定义
头部和颈部的异常	HP:0025124	Fragile teeth	['A tendency of teeth to fracture as manifested by a history of repeated fracture of the dental enamel without adequate trauma.']	牙齿发脆	[' '一种牙齿脆裂的趋势，表现为没有足够外时就发生的牙釉质反复脆裂。']
头部和颈部的异常	HP:0025125	White lesion of the oral mucosa	['White lesions of the oral mucosa are generally caused by a condition that increases the thickness of the epithelium. This increases the distance to the vascular bed and thereby tends to change the usual reddish color of the oral mucosa to white. Common causes include hyperkeratosis (thickening of the keratin layer), acanthosis (thickening of the spinous cell layer), increased edema in the epithelium (leukoedema), and reduced vascularity of the underlying lamina propria. Additionally, fibrin caps of surface ulcerations and collapsed bullae can appear white.']	口腔黏膜白色病变。	(口腔黏膜的白色病变通常是由上皮增厚引起导致与血管床距离的增加，从而使口腔黏膜由通常的红色变为白色。常见的原因包括角化过度(角蛋白层增厚)、棘层增厚(棘细胞层增厚)、上皮水肿(白斑水肿)增加、固有层血管减少。此外，表面溃疡的纤维蛋白帽和塌陷的大泡也会出现白色。
头部和颈部的异常	HP:0025126	Oral hairy leukoplakia	['A corrugated white lesion of the oral mucosa that usually occurs on the lateral or ventral surfaces of the tongue and may have a shaggy or frayed appearance.']	口腔毛状白斑	['口腔黏膜的一种白色波纹样病变，通常发生在舌的外侧或腹侧表面，可能有粗糙或磨损样外观。']
肿瘤,体壁的异常	HP:0025127	Actinic keratosis	['A scaly, crusty lesion caused by damage from the ultraviolet radiation of the sun, with typical location on sun-exposed areas of the skin. Actinic keratosis lesions are often elevated, rough, and wartlike, and may be red, or occasionally tan, pink, or flesh-toned in color.']	光化性角化病	由于太阳紫外线照射或电离辐射引起的表皮过度鳞状化、硬皮病变，多见于皮肤暴露区域。 光化性角化病的病变通常可略高出皮肤形成隆起，表面粗糙、呈疣状，颜色可呈红色、棕褐色、粉红色或肉色。
结缔组织异常	HP:0025128	Reduced intraabdominal adipose tissue	['An abnormally reduced amount of adipose tissue in the abdominal cavity.']	腹部脂肪组织减少	[腹腔内脂肪组织异常减少]
消化系统异常	HP:0025129	Abnormal small intestinal mucosa morphology	['A structural anomaly of the mucous lining of the small intestine.']	小肠粘膜形态异常	小肠粘膜的结构异常
消化系统异常,代谢紊乱/稳态失衡	HP:0025130	Decreased small intestinal mucosa lactase activity	['Lactase is produced in the small intestine in humans, Lactase is a member of the beta-galactosidase family of enzymes, and hydrolyzes D-lactose to form D-galactose and D-glucose, which can be absorbed by the small intestine. There are many ways of assessing lactase activity. In one test, an endoscopic biopsy from the postbulbar duodenum is incubated with lactose on a test plate, and a color reaction develops within 20 min as a result of hydrolyzed lactose (a positive result) in patients with normolactasia, whereas no reaction (a negative result) develops in patients with severe hypolactasia. Other, less direct, tests include the hydrogen breath test, and blood tests following lactose challenges.']	小肠粘膜乳糖酶活性降低	乳糖酶存在于人体小肠粘膜，是β-半乳糖苷酶家族成员之一，可水解D -乳糖生成D-半乳糖和D-葡萄糖，从而被小肠吸收。乳糖酶活性的检测方法很多，其中一种方法小肠粘膜活检法，通过在内镜下取十二指肠球部粘膜组织，然后将其与乳糖在培养皿中共孵育，若20min内呈现颜色变化则认为发生了乳糖分解反应（阳性结果），即该患者的乳糖分解正常；若无颜色变化（阴性结果）则表明该患者为严重的乳糖不耐受患者。另外，还有一些间接的检测方法，如：氢呼气试验和乳糖耐受试验。
骨骼系统异常,肢体异常	HP:0025131	Finger swelling	Enlargement of the soft tissues of one or more fingers.	手指肿胀	一个或多个手指软组织增大。
内分泌系统异常	HP:0025132	Abnormal circulating estrogen level	['A deviation from normal concentration of the hormone estrogen in the blood circulation.']	循环雌激素水平异常	血液循环中雌激素浓度偏离正常范围
内分泌系统异常	HP:0025133	Abnormal serum estradiol	['A deviation from normal concentrations of estradiol in the circulation.']	血清雌二醇异常	血液循环中雌二醇浓度偏离正常范围
内分泌系统异常	HP:0025134	Increased serum estradiol	['An elevation above normal limits of the concentration of estradiol in the circulation.']	血清雌二醇增多	血液循环中雌二醇浓度超出正常值上限
内分泌系统异常	HP:0025135	Abnormal serum estriol	['A deviation from normal concentration of estriol in the circulation.']	血清雌三醇异常	血液循环中雌三醇浓度偏离正常范围
内分泌系统异常	HP:0025136	Increased serum estriol	['An elevation above normal limits of estriol concntration in the circulation.']	血清雌三醇增多	血液循环中雌三醇浓度超出正常值上限
内分泌系统异常	HP:0025137	Decreased serum estriol	['A reduction below normal limits of estriol in the circulation.']	血清雌三醇降低	循环中雌三醇低于正常下限
内分泌系统异常	HP:0025138	Abnormal serum estrone	['A deviation from the normal concentration of circulating estrone.']	血清雌酮异常	血液循环中雌酮浓度偏离正常范围
内分泌系统异常	HP:0025139	Increased serum estrone	['An elevation above normal limits of the concentration of estrone in the circulation.']	血清雌酮升高	循环中雌酮浓度高于正常上限
内分泌系统异常	HP:0025140	Decreased serum estrone	['A reduction below normal limits of the concentration of estrone in the circulation.']	血清雌酮降低	循环中雌酮浓度低于正常下限
骨骼系统异常,头部和颈部的异常	HP:0025141	Gingival calcification	Ectopic deposition of calcium salts found in the gingiva.	牙龈钙化	牙龈中的钙盐异位沉积。
眼部异常	HP:0025146	Foveal degeneration	['Deterioration of the tissue of the fovea, i.e.,the region of sharpest vision within the macula of theretina.']	中心凹变性	中心凹即视网膜黄斑视觉最敏锐区域组织的退化。
眼部异常	HP:0025147	Beaten bronze macular sheen	['A shiny appearance of the macula, which is often called a beaten bronze appearance.']	黄斑金属样光泽	一种有光泽的黄斑外观，通常称为金属样反光。
眼部异常	HP:0025148	Dark choroid	A fluorescein angiographic finding of absence of the normal background fluorescence (a dark choroid).	暗脉络膜	在荧光造影时发现，眼底没有正常背景荧光（暗脉络膜）。
消化系统异常	HP:0025149	Atrophic muscularis propria	Partial or complete wasting (loss) of muscularois propria tissue that was once present. The atrophy may involve a marked vacuolar degeneration of myocytes, loss of muscle fibers and some cases a highly characteristic honeycomb fibrosis.	固有肌层萎缩	曾经存在的肌层固有组织部分或完全的消失（丧失）。萎缩可能涉及心肌细胞明显空泡变性、肌纤维丢失和一些高度特征性蜂窝状纤维化。
消化系统异常,神经系统异常	HP:0025150	Hypoganglionosis	['Sparse and small myenteric ganglia']	神经节细胞减少症	肌间神经节稀疏萎缩。
消化系统异常,神经系统异常	HP:0025151	Ganglioneuromatosis	Hyperplastic submucosal and myenteric plexus containing an increased number of ganglion cells, glial cells and nerve fibers.	节细胞神经瘤	增生性粘膜下和肌间神经丛中神经节细胞、神经胶质细胞和神经纤维的数量增加。
眼部异常	HP:0025152	Poor visual behavior for age	['Lack of visual responsiveness or decrease in visual capabilities suggesting a lack of visual responsiveness or decrease in visual capabilities in an infant or young child in which visual behvior fails to meet normal developmental milestones.']	视觉行为发育差	视觉反应能力缺乏或视觉能力下降，表明视觉行为未能达到正常发育的婴幼儿视觉反应能力或视觉能力下降
消化系统异常	HP:0025154	Portosystemic collateral veins	['Presence of biliary veins that serve as a collateral channel to the systemic circulation']	门体侧支静脉	门静脉与体循环之间存在的广泛的交通支
消化系统异常	HP:0025155	Abnormality of hepatobiliary system physiology	['A fiunctional anomaly of the hepatobiliary system']	肝胆系统生理异常	肝胆系统的功能异常
消化系统异常	HP:0025156	Dependency on intravenous nutrition	Inability to be weaned from intravenous (parenteral) nutrition, as judged by the hydration status (urine output, blood urea nitrogen, creatinine, urine sodium concentration), ability to maintain weight, stool output, and serum electrolyte status.	静脉营养依赖	从水化状态（尿量、尿素氮、肌酐、尿钠浓度）、维持体重的能力、粪便输出和血清电解质状态判断不能从静脉（肠外）营养中脱离。
代谢紊乱/稳态失衡	HP:0025157	Increased urinary sedoheptulose	['An increased concentration of sedoheptulose in the urine. Sedoheptulose is a monosaccharide with seven carbon atoms and a ketone functional group.']	尿液景天庚酮糖浓度增高	尿液中景天庚酮糖的浓度增高。景天庚酮糖是一种含七个碳原子和一个酮功能基团的单糖。
眼部异常	HP:0025158	Hyperautofluorescent retinal lesion	['Increased amount of autofluorescence in the retina as ascertained by fundus autofluorescence imaging.']	视网膜自发强荧光病变	利用眼底自发荧光成像确定视网膜自发荧光增强。
眼部异常	HP:0025159	Hypoautofluorescent retinal lesion	['Decreased amount of autofluorescence in the retina as ascertained by fundus autofluorescence imaging.']	视网膜自发弱荧光病变	利用眼底自发荧光成像确定视网膜自发荧光减弱。
神经系统异常	HP:0025160	Abnormal temper tantrums	['A temper tantrum is an emotional outburst usually triggered by a sense of frustration and manifested as whining and crying, screaming, kicking, hitting, and breath holding. Temper tantrums are normal in toddlers and young children and usually happen between the ages of one to three years. Temper tantrums may be considered abnormal if they occur at an unusually high frequency, are of unusual severity, or occur at an old age than usual.']	异常发脾气	发脾气通常是由挫折感引起的情绪爆发反应，表现为抱怨和哭泣、尖叫、踢、打、屏气。发脾气是婴幼儿正常行为特征，通常发生在一至三岁之间；如果发生频率过高、过度严重，或者在非常规年龄出现可认为是异常的。
神经系统异常	HP:0025161	Frequent temper tantrums	['Temper tantrums that occur more frequently than usual.']	频繁发脾气	较通常情况发作频繁的发脾气
神经系统异常	HP:0025162	Severe temper tantrums	['Temper tantrums whose severity is more severe than usual. For instance, a temper tantrum might be considered to be severe if a child loses control so completely that the child cannot control the tantrum on its own, continuing until it becomes exhausted or a parent intervenes.']	脾气爆发	较通常情况更严重的脾气爆发。例如，一个孩子完全失去控制，脾气不能自控，直至筋疲力尽或父母介入。
眼部异常	HP:0025163	Abnormality of optic chiasm morphology	['A structural abnormality of the optic chiasm.The optic chiasm, located below the hypothalamus, is a partial crossing of the optic nerves.']	视交叉形态异常	一种视交叉结构异常。视交叉位于下丘脑下方，为视神经部分性交叉。
体壁的异常	HP:0025164	Increased number of elastic fibers in the dermis	An elevated number of elastic fibers, that is of bundles of proteins and glycoproteins in the extracellular matrix in the reticular dermis. Elastic fibers can stretch and recoil back to their original length. This feature can be appreciated on histology with hematoxylin and eosin or other staining methods.	真皮弹性纤维增多	弹性纤维数量增多。网状真皮层的细胞外基质中由蛋白质和糖蛋白束构成的弹性纤维数量增多。弹性纤维可以拉伸并收缩到其原本的长度。这一特性可通过苏木精和伊红染色或其他染色等组织学方法进行评估。
体壁的异常	HP:0025165	Clumping of elastic fibers in the dermis	Formation of clumps or aggregates that make up small protuberances from elastic fibers within the dermis (especially the reticular dermis).	真皮弹性纤维团块	真皮弹性纤维（特别是网状真皮层）形成团块或聚集成小结节
体壁的异常	HP:0025166	Thickened elastic fibers in the dermis	['An increase of the diameter of elastic fibers in the dermis.']	真皮弹性纤维增厚	真皮弹性纤维直径增大
体壁的异常	HP:0025167	Fragmented elastic fibers in the dermis	['Elastic fibers in the dermis exhibit an increased number of breaks associated with disorganization of the structure of the elastic fibers.']	真皮弹性纤维碎裂	与弹性纤维结构紊乱相关的真皮弹性纤维碎裂增多
心血管系统异常	HP:0025168	Left ventricular diastolic dysfunction	Abnormal function of the left ventricule during left ventricular relaxation and filling.	左心室舒张功能障碍	左心室在舒张充盈过程中发生的功能异常
心血管系统异常	HP:0025169	Left ventricular systolic dysfunction	['Abnormality of left ventricular contraction, often defined operationally as an ejection fraction of less than 40 percent.']	左心室收缩功能障碍	左心室的运动异常，通常射血分数少于40%时会被定义为收缩异常
肿瘤,神经系统异常	HP:0025170	Neuronal/glioneuronal neoplasm of the central nervous system	['A central nervous system neoplasm with neuronal and, less consistently, glial differentiation.']	中枢神经系统神经元/神经胶质细胞瘤 	一种中枢神经系统肿瘤，包括神经元和分化程度不同的胶质细胞。
肿瘤,神经系统异常	HP:0025171	Rosette-forming glioneuronal tumor	A tumor of the central nervous system that has components of both neurocytic and glial areas, whereby usually the glial component of the tumour predominates. Rossette-forming glioneuronal tumors (RGNT) have biphasic cytoarchitecture with two elements; neurocytic rosettes resembling Homer-Wright rosettes, and astrocytic component resembling a pilocytic astrocytoma. RGNTs are low-grade tumors that lack histopathological signs of malignancy.	玫瑰花形神经胶质瘤	中枢神经系统的一种肿瘤，包含神经细胞和神经胶质区域的组成部分，通常是肿瘤的胶质成分占主导地位。玫瑰花形的神经胶质细胞瘤(RGNT)具有两相细胞结构：类似于Homer-Wright玫瑰花的神经细胞和类似于纤维状细胞的星形胶质细胞。RGNTs是低级别肿瘤，缺乏恶性肿瘤的组织病理学特征。
呼吸系统异常	HP:0025172	Smooth septal thickening on pulmonary HRCT	['Thickening of the interlobular septa of the lungs as seen on a high-resolution computed tomography scan with a smooth appearance of the interlobular septa.']	HRCT可见肺部间隔光滑性增厚	在肺部高分辨率计算机断层扫描上可见肺小叶间隔增厚，小叶间隔光滑。
呼吸系统异常	HP:0025173	Nodular septal thickening on pulmonary HRCT	['Thickening of the interlobular septa of the lungs as seen on a high-resolution computed tomography scan with a nodular or beaded appearance of the interlobular septa.']	HRCT可见肺部间隔结节性增厚 	在肺部高分辨率计算机断层扫描上可见肺小叶间隔增厚，小叶间隔呈结节状或串珠状结构。
呼吸系统异常	HP:0025174	Irregular septal thickening on pulmonary HRCT	['Thickening of the interlobular septa of the lungs as seen on a high-resolution computed tomography scan with an irregular appearance of the interlobular septa. THis feature is often associated with distortion of lung architecture.']	HRCT可见肺部间隔不规则性增厚 	在肺部高分辨率计算机断层扫描上可见肺小叶间隔增厚，小叶间隔不规则性出现，常由于肺结构扭曲导致。
呼吸系统异常	HP:0025175	Honeycomb lung	['Extensive interstitial fibrosis with alveolar disruption and bronchiolectasis.']	蜂窝状肺 	肺脏可见广泛间质纤维化伴肺泡破裂及细支气管扩张。
呼吸系统异常	HP:0025176	Intralobular interstitial thickening	['A fine reticular pattern on high-resolution computeed tomography, with the visible lines separated by a few millimeters. Regions of the lung with intralobular interstitial thickening characteristically show a fine lacelike or netlike appearance.']	小叶间质增厚	在高分辨率计算机断层扫描影像上呈精细网状图像，可见线间隔几毫米。肺小叶间质增厚区域特征表现为细腻的花边状或网状图像。
呼吸系统异常	HP:0025177	Peribronchovascular interstitial thickening	['Thickening of the peribronchovascular interstitium, a connective tissue sheath that surrounds the central bronchi and pulmonary arteries. The peribronchovascular interstitium extends from the level of the pulmonary hila into the peripheral lung. This feature may be ascertained on high-resolution computer tomography.']	支气管周围血管间质增厚	围绕中央支气管和肺动脉的结缔组织鞘增厚，即支气管周围血管间质增厚。支气管周围血管间质从肺门水平延伸至肺脏末梢。这一特征可以经高分辨率计算机断层扫描确定。
呼吸系统异常	HP:0025178	Subpleural interstitial thickening	['Increase in thickness of the subpleural interstitium.']	胸膜下间质增厚 	胸膜下间质厚度增加。
呼吸系统异常	HP:0025179	Ground-glass opacification on pulmonary HRCT	A descriptive term that is applied to computer tomography imaging and that refers to a hazy area of increased attenuation in the lung with preserved bronchial and vascular markings.	HRCT可见肺部毛玻璃样结构	计算机断层扫描成像技术中的一种描述性术语，指的是肺中保留支气管和血管标记的信号衰减增加的模糊区域。
呼吸系统异常	HP:0025180	Centrilobular ground-glass opacification on pulmonary HRCT	['A hazy area of increased attenuation in centrilobular areas of the lung with preserved bronchial and vascular markings seen on a computer tomography scan. Centrilobular refers to a location that is central within secondary pulmonary lobules.']	HRCT可见肺小叶中心毛玻璃样结构	在计算机断层扫描中肺小叶中心可见模糊的区域，该区域保留支气管和血管标记。小叶中心是指位于次级肺小叶中心的位置。
消化系统异常	HP:0025181	Abdominal aseptic abscess	An abscess-like lesion located within the abdomen. The lesions are localized in the spleen, liver, abdominal lymph nodes. The lesions represent visceral sterile collections of mature neutrophils that do not respond to antibiotics but regress quickly when treated with corticosteroids, but relapses occur frequently.	腹腔无菌性脓肿	腹腔内脓肿样病变，可以位于脾脏、肝脏、腹腔淋巴结。病变表现为内脏组织无菌性成熟中性粒细胞聚集，对抗生素不敏感，皮质激素使用后迅速消退，但通常迅速复发
体壁的异常	HP:0025182	Localized area of pendulous skin	['A confined region of lax skin that hangs below the level of the surrounding skin. Histopatholigically, there is a loss of elastic fibers in the dermis of the affected region.']	局限性皮肤松弛	局部的皮肤相较于周围更为松弛，组织病理显示病损区域皮肤真皮层弹性纤维缺如。
眼部异常	HP:0025186	Marcus Gunn jaw winking synkinesis	Unilateral ptosis with associated upper eyelid contraction and contraction of either the external or the internal pterygoid muscle. It is thought to occur because of congenital miswiring of a branch of the fifth cranial nerve into the branch of the third cranial nerve supplying the levator muscle. In Marcus Gunn jaw winking synkinesis, elevation and even retraction of the affected eyelid is triggered by chewing, suction, lateral mandible movement, smiling, sternocleidomastoid contraction, protruding tongue, Valsalva manoeuvre and even by breathing.	Marcus-Gunn下颌眼睑联动综合征	单侧上睑下垂，伴有上睑收缩和翼状胬肉内肌的收缩，是由于第五脑神经的一个分支进入支配上睑提肌的第三脑神经的分支所致。对于Marcus-Gunn下颌眼睑联动综合征患者而言，咀嚼、吸气、下颌侧移、微笑、胸锁乳突收缩、伸舌、Valsalva动作甚至呼吸都会触发受影响眼睑的抬高甚至收缩。
眼部异常,心血管系统异常	HP:0025188	Retinal vasculitis	['Inflammation of retinal blood vessels as manifested by perivascular sheathing or cuffing, vascular leakage and/or occlusion.']	视网膜血管炎	视网膜血管的炎症性疾病，表现为血管周围的鞘或套，血管渗漏或闭塞。
神经系统异常	HP:0025190	Generalized tonic-clonic seizures without focal onset	['A type of generalized tonic-clonic seizure that occurs in and rapidly engages bilaterally distributed networks.']	无局灶发作的全面性强直-阵挛发作	一种广泛的强直阵挛发作，发生后迅速经双侧神经网络分布
神经系统异常	HP:0025191	Segmental myoclonic seizures		节段性肌阵挛发作	
神经系统异常	HP:0025192	Subtentorial periventricular white matter hyperdensity	['Areas of brighter than expected signal on magnetic resonance imaging emanating from the cerebral white matter that surrounds the fourth cerebral ventricle (which is located beneath the tentorium of the cerebellum).']	幕下脑室周围白质高密度	第四脑室周围（位于小脑幕下）的脑白质的磁共振成像信号较正常偏高
结缔组织异常,肌肉组织异常	HP:0025193	Posterolateral diaphragmatic hernia	['A posterolateral defect in the diaphragm, commonly referred to as a Bochdalek hernia, which is often accompanied by herniation of the stomach, intestines, liver, and/or spleen into the chest cavity.']	后外侧膈疝	横膈后外侧缺损，常伴有胃、肠、肝和/或脾脏的疝入胸腔，通常被称为BodDalk疝
肌肉组织异常,结缔组织异常	HP:0025194	Morgagni diaphragmatic hernia	['An anterior retrosternal or parasternal hernia that can result in the herniation of liver or intestines into the chest cavity.']	Morgagni膈疝	胸骨后或胸骨旁疝，可导致肝或肠突出疝入胸腔
结缔组织异常,肌肉组织异常	HP:0025195	Central diaphragmatic hernia	['A congenital diaphragm defect involving the central tendinous (e.g., amuscular) portion of the diaphragm, whereby the entire rim of diaphragmatic musculature is present.']	中央膈疝	一种先天性的累及中央腱索（例如，肌肉）部分的横膈缺损，可在整个膈肌组织的边缘出现
代谢紊乱/稳态失衡	HP:0025196	Increased total iron binding capacity	An elevation in the total-iron binding capacity, which measures how much serum iron is bound if an excess of radioactive iron is added. A high TIBC corresponds to a high transferrin concentration. The latent (or free) iron binding capacity is the difference between the TIBC and the measured serum iron, corresponding to the transferrin not bound to iron, i.e., free iron binding capacity.	总铁结合力增高	总铁结合力增高。可通过加入过量的放射性铁后，检测血清中结合铁的含量。总铁结合力增高表明转铁蛋白水平增高。未饱和（自由）铁结合力不同于总铁结合力和血清铁，指的是未与铁结合的转铁蛋白，也就是自由铁结合力。
肿瘤	HP:0025197	Inclusion body fibromatosis	A benign tumor made up of mostly myofibroblasts that appears almost exclusively on the digits of the hands and feet, rarely involving the thumb or big toe. The lesion displays a proliferation of bland intradermal spindle cells arranged in whorls, fascicles, or a storiform pattern in a collagenous background of varying degrees. Also usually present are perpendicular tumor cell fascicles that extend to the epidermis. The small intracytoplasmic inclusions are said to appear similar to red blood cells. The inclusion bodies have been shown to be made up of densely packed vimentin and actin filaments. The tumor often causes a dome-shaped elevation of the overlying structures, forming a protuberant or polypoid nodule. The overlying epidermis can display a host of changes, including acanthosis, hyperkeratosis, parakeratosis, rete ridge flattening, entrapment of adnexal structures, and, rarely, ulceration.	包涵体纤维瘤病	一种良性肿瘤，主要由肌成纤维细胞组成，几乎只出现在手指和脚趾上，但很少累及拇指或大脚趾。病损显示在不同程度的胶原生成的背景下，皮内梭形细胞的增生，排列成轮状、束状或席纹状。通常也有垂直的肿瘤细胞束延伸到表皮。小的胞浆内包含体据说与红血球相似。包涵体由密集的波形蛋白和肌动蛋白丝组成。肿瘤常引起覆盖结构的穹状隆起，形成突起或息肉样结节。覆盖的表皮可显示许多变化，包括棘皮、角化、角化、脊状变平、附件结构的残留，以及很少的溃疡。
肿瘤,消化系统异常	HP:0025198	Inflammatory cap polyp	['A non-malignant sessile or pedunculated polyp in the colon and rectum that displays a cap of inflammatory granulation tissue with fibrinopurulent exudate that covers the polyp.']	炎性帽状息肉	一种位于直肠和结肠的非恶性的无蒂或带蒂息肉，息肉上面覆盖含纤维素性即脓性渗出物的炎性肉芽组织
肌肉组织异常	HP:0025200	Muscle fiber actin filament accumulation		肌纤维肌动蛋白丝堆积	
代谢紊乱/稳态失衡	HP:0025201	Abnormal apolipoprotein level	['A deviation from the normal concentration in blood of an apolipoprotin, i.e., of a protein that binds lipids to form lipoprotein and is thereby responsible for the transport of lipids in the blood and lymph circulation.']	载脂蛋白水平异常	血液某种载脂蛋白的浓度不在正常范围内。载脂蛋白与脂质结合形成脂蛋白，负责血液和淋巴循环中脂类的运输。
代谢紊乱/稳态失衡	HP:0025202	Elevated apolipoprotein A-IV level	['An increased concentration in blood of apolipoprotein A-IV, a major component of HDL and chylomicrons that has a role in VLDL secretion and catabolism and is required for efficient activation of lipoprotein lipase by ApoC-II.']	载脂蛋白A-IV水平增高	血液中载脂蛋白A-IV浓度增高。载脂蛋白A-IV是HDL和乳糜微粒的重要组成成分，参与VLDL的分泌和分解代谢过程，同时促使Apo CII激活脂蛋白脂肪酶。
心血管系统异常,体壁的异常	HP:0025203	Caput medusae	Distended and engorged umbilical veins which are seen radiating from the umbilicus across the abdomen to join systemic veins.	脐周静脉曲张	脐静脉膨胀充盈，脐静脉由脐带穿过腹部与体静脉相连
临床调节因素	HP:0025204	Triggered by	['A trigger is defined as an external factor that leads to the manifestation of a sign or symptom in a person with a susceptibility to developing that manifestation.']	因……而引发的	触发因素为一个外部因素，导致一种特定的症状或体征，对其易感的个体出现表现。
临床调节因素	HP:0025205	Triggered by breast feeding	['Applies to a sign or symptom that is provoked or brought about by breast feeding in an infant.']	由母乳喂养引发的	婴儿因母乳喂养而引起的症状或体征。
临床调节因素	HP:0025206	Triggered by cold	['Applies to a sign or symptom that is provoked or brought about by exposure to cold surroundings.']	由寒冷引发的	因暴露在寒冷环境中而引起的症状或征兆。
临床调节因素	HP:0025207	Triggered by dehydration	['Applies to a sign or symptom that is provoked or brought about by being dehydrated, i.e., by a deficit in total body water.']	由脱水引发的	因脱水而引起的症状或体征。即由于人体总水分不足造成的。
临床调节因素	HP:0025208	Triggered by carbohydrate ingestion	['Applies to a sign or symptom that is provoked or brought about by eating or drinking carbohydrates.']	由碳水化合物引发的	因食用或饮用碳水化合物而引起的体征或症状。
临床调节因素	HP:0025209	Triggered by fructose ingestion	['Applies to a sign or symptom that is provoked or brought about by eating or drinking fructose.']	由食用果糖引发的	一种体征或症状，因食用或饮用果糖而引发。
临床调节因素	HP:0025210	Triggered by glucose ingestion	['Applies to a sign or symptom that is provoked or brought about by eating or drinking glucose.']	由食用葡萄糖引发的	一种体征或症状，因食用或饮用葡萄糖而引起
临床调节因素	HP:0025211	Triggered by ethanol ingestion	['Applies to a sign or symptom that is provoked or brought about by drinking or otherwise ingesting ethanol.']	由饮酒引发的	因饮酒或摄入酒精而引起的体征或症状。
临床调节因素	HP:0025212	Triggered by fasting	['Applies to a sign or symptom that is provoked or brought about by abstaining from eating food (fasting).']	由禁食引发的	因不进食(禁食)而引起的体征或症状。
临床调节因素	HP:0025213	Triggered by galactose ingestion	['Applies to a sign or symptom that is provoked or brought about by eating or drinking galactose. Galactose usually is ingested as lactose, which is composed of equimolar amounts of glucose and galactose.']	由服用半乳糖引发的	因吃或喝半乳糖而引发的体征或症状。半乳糖通常以乳糖的形式摄入，它由等量的葡萄糖和半乳糖组成。
临床调节因素	HP:0025214	Triggered by heat	['Applies to a sign or symptom that is provoked or brought about by exposure to heat.']	因受热引发的	因受热而引起的体征或症状。
临床调节因素	HP:0025215	Triggered by febrile illness	['Applies to a sign or symptom that is provoked or brought about by febrile illness.']	由发热性疾病引发的	由发热性疾病引起的体征或症状。
临床调节因素	HP:0025216	Triggered by heavy meal	['Applies to a sign or symptom that is provoked or brought about by eating large quantities of food, for instance, by a heavy meal.']	由饱食引发的	因进食大量食物而引起的体征或症状，例如因进食过量而引起。
临床调节因素	HP:0025217	Triggered by high-fat diet	['Applies to a sign or symptom that is provoked or brought about by eating a diet high in lipids.']	由高脂饮食引发的	因食用高脂食物而引起的体征或症状。             
临床调节因素	HP:0025218	Triggered by hyperventilation	['Applies to a sign or symptom that is provoked or brought about by excessively rapid and deep breathing.']	由过度换气引起的	因过度快速深呼吸而引起的体征或症状。
临床调节因素	HP:0025219	Triggered by vaccination	Applies to a sign or symptom that is provoked or brought about by a vaccination.	由免疫接种引起的	因接种疫苗引起的体征或症状。
临床调节因素	HP:0025220	Triggered by menstruation	['Applies to a sign or symptom that is provoked or brought about by menstruation in a female.']	由月经引起的	女性因月经引发的体征或症状。
临床调节因素	HP:0025221	Triggered by pregnancy	['Applies to a sign or symptom that is provoked or brought about by pregnancy in a female.']	由妊娠引起的	女性因怀孕而引起的体征或症状。
临床调节因素	HP:0025222	Triggered by sleep deprivation	['Applies to a sign or symptom that is provoked or brought about by a lack of sufficient sleep.']	由睡眠不足引发的	 因睡眠不足而引起的体征或症状。             
临床调节因素	HP:0025223	Triggered by smoking	['Applies to a sign or symptom that is provoked or brought about by smoking.']	由吸烟引发的	因吸烟引起或引起的体征或症状。
临床调节因素	HP:0025224	Triggered by sodium ingestion	['Applies to a sign or symptom that is provoked or brought about by eating or drinking sodium.']	由摄钠盐引发的	因食用或饮用钠盐而引起的体征或症状。
临床调节因素	HP:0025225	Triggered by sound	['Applies to a sign or symptom that is provoked or brought about by exposure to sound or noise.']	由声音引发的	因听到声音或噪音而引起的体征或症状。
临床调节因素	HP:0025226	Triggered by stress	['Applies to a sign or symptom that is provoked or brought about by a physical, mental, or emotional factor associated with bodily or mental tension.']	由负担引起的	由与身体、精神紧张相关的生理、心理或情感因素引起的体征或症状。
临床调节因素	HP:0025227	Triggered by excitement	['Applies to a sign or symptom that is provoked or brought about by a a state of excitement or by being startled.']	由兴奋引发的	因兴奋状态或受到惊吓而引起的体征或症状。
临床调节因素	HP:0025228	Triggered by sudden movement	['Applies to a sign or symptom that is provoked or brought about by a sudden movement.']	由突然移动引起的	因身体的突然移动而引起的体征或症状。
临床调节因素	HP:0025229	Triggered by vestibular stimulation	['Applies to a sign or symptom that is provoked or brought about by vestibular stimulation, including head turning, cold calorics, postural changes, or rotating chair.']	由前庭刺激引发的	由前庭刺激引发或引起的体征或症状，包括转头、冷刺激、体位变化或坐转椅。
骨骼系统异常	HP:0025230	Tendonitis	['Inflammation of a tendon.']	腱炎	肌腱发炎
骨骼系统异常	HP:0025231	Abnormality of synovial bursa morphology	['A structural anomaly of a synovial bursa.']	滑膜囊形态异常	滑膜囊形态结构异常
骨骼系统异常	HP:0025232	Bursitis	['Inflammation of a synovial bursa.']	滑囊炎	滑囊发炎
神经系统异常	HP:0025233	Sleep paralysis	An inability to move the body at sleep onset or upon awakening from sleep lasting seconds to a few minutes.	睡眠瘫痪	睡眠起始阶段或觉醒过程中,意识清楚但是身体不能自主活动，可持续数秒或者几分钟时间。
神经系统异常	HP:0025234	Parasomnia	An undesirable physical event or experience that occur during entry into sleep, during sleep, or during arousal from sleep.	异态睡眠	在睡眠、睡眠或觉醒期间发生的异常表现或经历
